Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount,year,month,month_name
1,2023-11-24,cust001,male,34,beauty,3,50,150,2023,11,nov
2,2023-02-27,cust002,female,26,clothing,2,500,1000,2023,2,feb
3,2023-01-13,cust003,male,50,electronics,1,30,30,2023,1,jan
4,2023-05-21,cust004,male,37,clothing,1,500,500,2023,5,may
5,2023-05-06,cust005,male,30,beauty,2,50,100,2023,5,may
6,2023-04-25,cust006,female,45,beauty,1,30,30,2023,4,apr
7,2023-03-13,cust007,male,46,clothing,2,25,50,2023,3,mar
8,2023-02-22,cust008,male,30,electronics,4,25,100,2023,2,feb
9,2023-12-13,cust009,male,63,electronics,2,300,600,2023,12,dec
10,2023-10-07,cust010,female,52,clothing,4,50,200,2023,10,oct
11,2023-02-14,cust011,male,23,clothing,2,50,100,2023,2,feb
12,2023-10-30,cust012,male,35,beauty,3,25,75,2023,10,oct
13,2023-08-05,cust013,male,22,electronics,3,500,1500,2023,8,aug
14,2023-01-17,cust014,male,64,clothing,4,30,120,2023,1,jan
15,2023-01-16,cust015,female,42,electronics,4,500,2000,2023,1,jan
16,2023-02-17,cust016,male,19,clothing,3,500,1500,2023,2,feb
17,2023-04-22,cust017,female,27,clothing,4,25,100,2023,4,apr
18,2023-04-30,cust018,female,47,electronics,2,25,50,2023,4,apr
19,2023-09-16,cust019,female,62,clothing,2,25,50,2023,9,sep
20,2023-11-05,cust020,male,22,clothing,3,300,900,2023,11,nov
21,2023-01-14,cust021,female,50,beauty,1,500,500,2023,1,jan
22,2023-10-15,cust022,male,18,clothing,2,50,100,2023,10,oct
23,2023-04-12,cust023,female,35,clothing,4,30,120,2023,4,apr
24,2023-11-29,cust024,female,49,clothing,1,300,300,2023,11,nov
25,2023-12-26,cust025,female,64,beauty,1,50,50,2023,12,dec
26,2023-10-07,cust026,female,28,electronics,2,500,1000,2023,10,oct
27,2023-08-03,cust027,female,38,beauty,2,25,50,2023,8,aug
28,2023-04-23,cust028,female,43,beauty,1,500,500,2023,4,apr
29,2023-08-18,cust029,female,42,electronics,1,30,30,2023,8,aug
30,2023-10-29,cust030,female,39,beauty,3,300,900,2023,10,oct
31,2023-05-23,cust031,male,44,electronics,4,300,1200,2023,5,may
32,2023-01-04,cust032,male,30,beauty,3,30,90,2023,1,jan
33,2023-03-23,cust033,female,50,electronics,2,50,100,2023,3,mar
34,2023-12-24,cust034,female,51,clothing,3,50,150,2023,12,dec
35,2023-08-05,cust035,female,58,beauty,3,300,900,2023,8,aug
36,2023-06-24,cust036,male,52,beauty,3,300,900,2023,6,jun
37,2023-05-23,cust037,female,18,beauty,3,25,75,2023,5,may
38,2023-03-21,cust038,male,38,beauty,4,50,200,2023,3,mar
39,2023-04-21,cust039,male,23,clothing,4,30,120,2023,4,apr
40,2023-06-22,cust040,male,45,beauty,1,50,50,2023,6,jun
41,2023-02-22,cust041,male,34,clothing,2,25,50,2023,2,feb
42,2023-02-17,cust042,male,22,clothing,3,300,900,2023,2,feb
43,2023-07-14,cust043,female,48,clothing,1,300,300,2023,7,jul
44,2023-02-19,cust044,female,22,clothing,1,25,25,2023,2,feb
45,2023-07-03,cust045,female,55,electronics,1,30,30,2023,7,jul
46,2023-06-26,cust046,female,20,electronics,4,300,1200,2023,6,jun
47,2023-11-06,cust047,female,40,beauty,3,500,1500,2023,11,nov
48,2023-05-16,cust048,male,54,electronics,3,300,900,2023,5,may
49,2023-01-23,cust049,female,54,electronics,2,500,1000,2023,1,jan
50,2023-08-24,cust050,female,27,beauty,3,25,75,2023,8,aug
51,2023-10-02,cust051,male,27,beauty,3,25,75,2023,10,oct
52,2023-03-05,cust052,female,36,beauty,1,300,300,2023,3,mar
53,2023-07-13,cust053,male,34,electronics,2,50,100,2023,7,jul
54,2023-02-10,cust054,female,38,electronics,3,500,1500,2023,2,feb
55,2023-10-10,cust055,male,31,beauty,4,30,120,2023,10,oct
56,2023-05-31,cust056,female,26,clothing,3,300,900,2023,5,may
57,2023-11-18,cust057,female,63,beauty,1,30,30,2023,11,nov
